strain	originating_lab	submitting_lab
A/Thailand/9/2022	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	WHO Collaborating Centre for Reference and Research on Influenza
A/Suriname/609/2023	Central Laboratory, Bureau of Public Health	Centers for Disease Control and Prevention
A/Suriname/506/2023	Central Laboratory, Bureau of Public Health	Centers for Disease Control and Prevention
A/SuratThani/P4965/2023	Thai National Influenza Center	Thai National Influenza Center
A/SuratThani/P2518/2023	Thai National Influenza Center	Thai National Influenza Center
A/Sydney/1304/2022	CSL Ltd	WHO Collaborating Centre for Reference and Research on Influenza
A/Ulsan/65/2022	Korea Disease Control and Prevention Agency (KDCA)	Korea Disease Control and Prevention Agency (KDCA)
A/Thailand/22/2022	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/59/2023	Alfred Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/TimorLeste/25/2023	Laboratório Nacional da Saúde	WHO Collaborating Centre for Reference and Research on Influenza
A/Bhutan/385/2023	Royal Centre for Disease Control	Centers for Disease Control and Prevention
A/Bhutan/1502/2023	Royal Centre for Disease Control	Centers for Disease Control and Prevention
A/Yamaguchi/77/2024	National Institute of Infectious Diseases (NIID)	Centers for Disease Control and Prevention
A/Yamagata/139/2024	Yamagata Prefectural Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Lyon-CHU/250546769/2025	CNR Virus des Infections Respiratoires - France SUD	Crick Worldwide Influenza Centre
A/Victoria/3099/2023	Royal Melbourne Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/CzechRepublic/914/2024	National Institute of Public Health	National Institute of Public Health (Czech Republic)
A/Pennsylvania/98/2023	Pennsylvania Department of Health	Centers for Disease Control and Prevention
A/Zambia/73/2024	University Teaching Hospital, MoH Zambia	Centers for Disease Control and Prevention
A/Zambia/119/2024	University Teaching Hospital, MoH Zambia	Centers for Disease Control and Prevention
A/Vietnam/5018/2025	Pasteur Institute, Influenza Laboratory	Centers for Disease Control and Prevention
A/Albania/310457/2024	Institute of Public Health	Crick Worldwide Influenza Centre
A/Singapore/MOH0334/2024	Ministry of Health, Singapore	Ministry of Health, Singapore
A/Oman/3989/2024	Central Public Health Laboratory, Ministry of Health	Centers for Disease Control and Prevention
A/Fujairah/9666/2024	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/Yokohama/110/2023	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Vietnam/PF524013/2024	Bach Mai Hospital	Bach Mai Hospital
A/Wisconsin/99/2023	City of Milwaukee Health Department	Centers for Disease Control and Prevention
A/Yokohama/115/2023	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Kanagawa/IC2326/2023	National Institute of Infectious Diseases (NIID)	National Institute of Infectious Diseases (NIID)
A/Romania/761BF/2023	National Institute of Infectious Diseases-Prof. Dr. Matei Bals	National Institute of Infectious Diseases-Prof. Dr. Matei Bals
A/Victoria/2195/2023	VIC - Australian Clinical Labs (ACL) - Geelong	WHO Collaborating Centre for Reference and Research on Influenza
A/Shanghai-Putuo/1727/2023	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/NorthernIreland/24068/2023	Regional Virus Laboratory, Microbiology Department, Royal Victoria Hospital	Crick Worldwide Influenza Centre
A/HongKong/1534/2023	Government Virus Unit	Centers for Disease Control and Prevention
A/Norway/11102/2023	Mikrobiologisk laboratorium, Sykehuset i Vestfold	Norwegian Institute of Public Health
A/WuhanQiaokou/231993/2023	Wuhan Center for Disease Control and Prevention	Wuhan Center for Disease Control and Prevention
A/Guangdong-Zhenjiang/1261/2024	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Shizuoka-C/3/2023	Shizuoka City Institute of Environmental Sciences and Public Health	National Institute of Infectious Diseases (NIID)
A/Estonia/Inf336/2024	Health Board Laboratory of Communicable Diseases	Health Board, Republic of Estonia
A/Kanagawa/IC2311/2023	National Institute of Infectious Diseases (NIID)	Centers for Disease Control and Prevention
A/Yokohama/10/2024	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Yokosuka/16/2023	Yokosuka Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Sydney/856/2023	WHO Collaborating Centre for Reference and Research on Influenza	Crick Worldwide Influenza Centre
A/SuratThani/P4779/2023	Thai National Influenza Center	Thai National Influenza Center
A/ValencianCommunity/935/2024	Servicio de Microbiología Hospital General Universitario de Elche	Instituto de Salud Carlos III
A/Luxembourg/LNS7909387/2023	Laboratoire National de Santé	Laboratoire National de Santé
A/Hungary/90/2024	National Center for Public Health and Pharmacy	National Public Health Center, Hungary
A/Zhejiang-Wuxin/1256/2024	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-Tongxiang/322/2023	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/NewYork/66/2022	New York State Department of Health	Centers for Disease Control and Prevention
A/SouthAfrica/R04548/2023	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/Nepal/425/2023	National Public Health Laboratory, Nepal	National Public Health Laboratory, Nepal
A/Albania/289813/2022	Institute of Public Health	Crick Worldwide Influenza Centre
A/Zhejiang-Yiwu/1231/2023	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/NewYork/33/2023	New York City Department of Health	Centers for Disease Control and Prevention
A/Lao/1666/2023	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention
A/Bahrain/6299/2022	Ministry of Health Bahrain	Centers for Disease Control and Prevention
A/SouthAustralia/48/2023	WHO Collaborating Centre for Reference and Research on Influenza	Centers for Disease Control and Prevention
A/Zhejiang-TX/350/2024	Jiaxing Center for Disease Control and Prevention	Zhejiang Provincial Center for Disease Control and Prevention
A/Switzerland/62589/2023	Swiss National Reference Centre for Influenza	Crick Worldwide Influenza Centre
A/Victoria/3234B/2023	Alfred Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Vietnam/PF424146/2024	Bach Mai Hospital	Bach Mai Hospital
A/Venezuela/4978/2023	"Instituto Nacional de Higiene ""Rafael Rangel"""	Centers for Disease Control and Prevention
A/Vasteras/SE23-14213/2023	Public Health Agency of Sweden	Crick Worldwide Influenza Centre
A/Switzerland/94675/2023	Swiss National Reference Centre for Influenza	Crick Worldwide Influenza Centre
A/Victoria/167/2024	Royal Melbourne Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Croatia/HZJZ_6184/2023	Croatian Institue of Public Health	Croatian Institue of Public Health
A/Darwin/1067/2024	Royal Darwin Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Yunnan-Xishan/11334/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Maldives/1141/2024	Ministry of Health	Centers for Disease Control and Prevention
A/AbuDhabi/8430/2024	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/Tokyo/EIS10-294/2024	National Institute of Infectious Diseases (NIID)	National Institute of Infectious Diseases (NIID)
A/Bangladesh/3726/2024	Institute of Epidemiology Disease Control and Research (IEDCR) & Bangladesh National Influenza Centre (NIC)	Centers for Disease Control and Prevention
A/StPetersburg/RII-60/2024	WHO National Influenza Centre Russian Federation	WHO National Influenza Centre Russian Federation
A/Ukraine/GIHSN-HCL024071579901/2024	"SI ""Kyiv City CDC MOH"""	CNR Virus des Infections Respiratoires, France SUD
A/Ukraine/GIHSN-HCL024014849301/2023	"SI ""Kyiv City CDC MOH"""	CNR Virus des Infections Respiratoires, France SUD
A/CzechRepublic/2887/2023	National Institute of Public Health	National Institute of Public Health (Czech Republic)
A/Yekaterinburg/47/2024	"FBUZ ""Center of hygiene and epidemiology"" in Sverdlovsk oblast"	WHO National Influenza Centre Russian Federation
A/Yokohama/51/2024	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/HongKong/8052/2024	Government Virus Unit	Centers for Disease Control and Prevention
A/Norway/5402/2024	Mikrobiologisk laboratorium, Sykehuset i Vestfold	Norwegian Institute of Public Health
A/HongKong/2506/2024	Hong Kong Department of Health	Hong Kong Department of Health
A/Yekaterinburg/RII-MH233747S/2025	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
A/SriLanka/50/2024	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/SriLanka/94/2024	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/SriLanka/49/2024	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/Macedonia/258/2023	Institute of Public Health (Macedonia)	Crick Worldwide Influenza Centre
A/Kenya/139/2024	CDC-Kenya	Centers for Disease Control and Prevention
A/Kenya/122/2024	CDC-Kenya	Centers for Disease Control and Prevention
A/Victoria/3063/2023	Royal Melbourne Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Ukraine/GIHSN-HCL024071642401/2024	"SI ""Kyiv City CDC MOH"""	CNR Virus des Infections Respiratoires, France SUD
A/Athens/ILIP167/2024	Hellenic Pasteur Institute	Hellenic Pasteur Institute
A/Heraklion/SARI1278/2024	Hellenic Pasteur Institute	Hellenic Pasteur Institute
A/Denmark/998/2024	Statens Serum Institut	Statens Serum Institute
A/Victoria/9/2024	Royal Melbourne Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Netherlands/1713/2024	Erasmus Medical Center	Erasmus Medical Center
A/Washington/6/2025	Washington State Public Health Laboratory	Centers for Disease Control and Prevention
A/Wisconsin/57/2024	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/DistrictOfColumbia/27/2023	DC Public Health Lab	Centers for Disease Control and Prevention
A/Croatia/10136RV/2023	Croatian Institue of Public Health	Crick Worldwide Influenza Centre
A/Croatia/10136RV/2023-egg	National Institute for Medical Research	Centers for Disease Control and Prevention
A/Kanagawa/IC2346/2023	National Institute of Infectious Diseases (NIID)	Centers for Disease Control and Prevention
A/SouthAfrica/8461/2025	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/Sweden/SE25-51056/2025	Public Health Agency of Sweden	Crick Worldwide Influenza Centre
A/Yunnan-Xishan/11120/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Luxembourg/LNS9911376/2025	Laboratoire National de Santé	Laboratoire National de Santé
A/Kentucky/29/2024	Centers for Disease Control and Prevention	Crick Worldwide Influenza Centre
A/Colorado/229/2024	Colorado Department of Health Lab	Centers for Disease Control and Prevention
A/Yokohama/30/2025	Yokohama City Institute of Public Health.	Japan Institute for Health Security (JIHS)
A/Talca/69165/2024	Instituto de Salud Publica de Chile	Instituto de Salud Pública de Chile
A/Talca/75547/2024	Instituto de Salud Publica de Chile	Instituto de Salud Pública de Chile
A/Romania/587237/2024	Cantacuzino National Military Medical Institute for Research and Development	Cantacuzino Institute
A/Albania/318922/2025	Institute of Public Health	Crick Worldwide Influenza Centre
A/Yekaterinburg/82/2025	WHO National Influenza Centre Russian Federation	WHO National Influenza Centre Russian Federation
A/SouthAfrica/8483/2024	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/Victoria/2906/2023	WHO Collaborating Centre for Reference and Research on Influenza	Centers for Disease Control and Prevention
A/Vietnam/PF223499/2024	Bach Mai Hospital	Bach Mai Hospital
A/Vietnam/PF424093/2024	Bach Mai Hospital	Bach Mai Hospital
A/Muscat/7234671/2023	Central Public Health Laboratory, Ministry of Health	Crick Worldwide Influenza Centre
A/Oman/7407/2023	Central Public Health Laboratory, Ministry of Health	Centers for Disease Control and Prevention
A/Kanagawa/IC2338/2023	Japan Institute for Health Security (JIHS)	Crick Worldwide Influenza Centre
A/Oklahoma/5/2024	Oklahoma State Department of Health	Centers for Disease Control and Prevention
A/Norway/3897/2024	Health Forde, Department of Microbiology	Norwegian Institute of Public Health
A/Slovenia/49/2024	National Institute for Medical Research	Centers for Disease Control and Prevention
A/Wakayama/33/2024	Wakayama Prefectural Research Center of Environment and Public Health	National Institute of Infectious Diseases (NIID)
A/Vietnam/PF524545/2025	Bach Mai Hospital	Bach Mai Hospital
A/Guangxi-Longzhou/1484/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Vietnam/5108/2025	Pasteur Institute, Influenza Laboratory	Centers for Disease Control and Prevention
A/Vietnam/2472/2024	Pasteur Institute, Influenza Laboratory	Centers for Disease Control and Prevention
A/Vietnam/PF125261/2025	Bach Mai Hospital	Bach Mai Hospital
A/Vietnam/5067/2025	Pasteur Institute, Influenza Laboratory	Centers for Disease Control and Prevention
A/SuratThani/1486/2025	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Lao/740/2025	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention
A/Lao/510/2025	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention
A/Vietnam/PF224396/2024	Bach Mai Hospital	Bach Mai Hospital
A/ChiangRai/1932/2024	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Zhejiang-Nanhu/130/2024	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Austria/1680133/2023	University of Vienna	Crick Worldwide Influenza Centre
A/Zhejiang-NH/1199/2024	Jiaxing Center for Disease Control and Prevention	Zhejiang Provincial Center for Disease Control and Prevention
A/Colorado/6/2024	Colorado Department of Health Lab	Centers for Disease Control and Prevention
A/Slovenia/21/2024	Laboratory for Virology, National Institute of Public Health	Crick Worldwide Influenza Centre
A/Slovenia/695/2024	Laboratory for Virology, National Institute of Public Health	Crick Worldwide Influenza Centre
A/Zhejiang-Haishu/1908/2024	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-Nanhu/1395/2024	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Iceland/14274/2024	Landspitali - University Hospital	Crick Worldwide Influenza Centre
A/Switzerland/47775/2024	National Institute for Medical Research	Centers for Disease Control and Prevention
A/Zhejiang-Xiuzhou/385/2023	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Colombia/1744/2024	Instituto Nacional de Salud de Columbia	Centers for Disease Control and Prevention
A/Vietnam/PF224230/2024	Bach Mai Hospital	Bach Mai Hospital
A/Zamyn-Uud/33/2024	National Center for Communicable Diseases	National Institute of Infectious Diseases (NIID)
A/BosniaHerzegovina/13/2024	University of Sarajevo	Crick Worldwide Influenza Centre
A/Shanghai-Fengxian/1912/2023	WHO Chinese National Influenza Center	Centers for Disease Control and Prevention
A/Tokyo/EIS10-618/2024	Japan Institute for Health Security (JIHS)	Japan Institute for Health Security (JIHS)
A/Guyana/10084/2024	National Public Health Reference Laboratory	Centers for Disease Control and Prevention
A/Vietnam/4152/2024	Pasteur Institute, Influenza Laboratory	Centers for Disease Control and Prevention
A/Vietnam/PF224332/2024	Bach Mai Hospital	Bach Mai Hospital
A/Sydney/711/2024	Childrens Hospital Westmead	WHO Collaborating Centre for Reference and Research on Influenza
A/Uganda/UVRI_KIS6777/2024	Kitebi HC III	Uganda Virus Research Institute (NIC)
A/Zhejiang-Zhangxing/1831/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-Wuxin/1244/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Latvia/1-066146/2024	State Agency, Infectology Center of Latvia	Crick Worldwide Influenza Centre
A/YoshkarOla/RII-MH172459S/2024	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
A/Wellington/12/2024	Institute of Environmental Science and Research (ESR)	WHO Collaborating Centre for Reference and Research on Influenza
A/Jilin-Ningjiang/1204/2025	WHO Chinese National Influenza Center	Centers for Disease Control and Prevention
A/Switzerland/ZH-UZH-IMV-3ba6fcdf/2024	Institute of Medical Virology, University of Zurich	University of Geneva
A/Guizhou-Yilongxin/2738/2024	WHO Chinese National Influenza Center	Centers for Disease Control and Prevention
A/Yunnan-Wenshan/11051/2024	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Yunnan-Mengliandaizulahuzuwazuzizhi/1185/2024	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Yamanashi/24026/2024	Yamanashi Institute for Public Health	National Institute of Infectious Diseases (NIID)
A/Wrexham/6733/2024	Public Health Wales Microbiology Cardiff	Public Health Wales Microbiology Cardiff
A/Ghana/1122/2024	Noguchi Memorial Institute for Medical Research (NMIMR)	Centers for Disease Control and Prevention
A/Ghana/1500/2024	Noguchi Memorial Institute for Medical Research (NMIMR)	Centers for Disease Control and Prevention
A/Ghana/394/2025	Noguchi Memorial Institute for Medical Research (NMIMR)	Centers for Disease Control and Prevention
A/Bangladesh/3015/2024	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/Yamaguchi/97/2024	Yamaguchi Prefectural Institute of Public Health and Environment	National Institute of Infectious Diseases (NIID)
A/Vietnam/PF224344/2024	Bach Mai Hospital	Bach Mai Hospital
A/HongKong/8080/2024	Government Virus Unit	Centers for Disease Control and Prevention
A/Yokohama/48/2024	National Institute of Infectious Diseases (NIID)	Centers for Disease Control and Prevention
A/Yokohama/31/2024	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/France/PAC-HCL023135084601/2023	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires, France SUD
A/Para/2024-013575-IEC/2024	National Influenza Center	Centers for Disease Control and Prevention
A/Spain/PV-HUD-97039303/2024	Hospital Universitario Donostia	University Hospital Donostia
A/Spain/PV-HUD-97038403/2024	Hospital Universitario Donostia	University Hospital Donostia
A/Belgium/799/2024	Scientific Institute of Public Health	Crick Worldwide Influenza Centre
A/Slovenia/NLZOH-8008-21-1540/2024	Laboratory for Virology, National Institute of Public Health	Crick Worldwide Influenza Centre
A/Catalonia/NSVH102421648/2024	Hospital Universitari Vall d'Hebron	Crick Worldwide Influenza Centre
A/Catalonia/NSVH102423723/2024	Hospital Universitari Vall d'Hebron	Crick Worldwide Influenza Centre
A/Belgium/S3597/2025	Sciensano, Viral Diseases Laboratory, National Influenza Center in Belgium	Sciensano Research Institute
A/Tokyo/EIS11-171/2024	Japan Institute for Health Security (JIHS)	Crick Worldwide Influenza Centre
A/Wisconsin/154/2024	Centers for Disease Control and Prevention	Crick Worldwide Influenza Centre
A/Ireland/36360/2025	UCD National Virus Reference Laboratory	UCD National Virus Reference Laboratory
A/Sydney/16/2025	Childrens Hospital Westmead	WHO Collaborating Centre for Reference and Research on Influenza
A/Guam/5965/2025	Guam Department of Public Health	Centers for Disease Control and Prevention
A/Guizhou-Nanming/1639/2025	WHO Chinese National Influenza Center	Centers for Disease Control and Prevention
A/Wyoming/24/2025	Wyoming Public Health Laboratory	Centers for Disease Control and Prevention
A/SaoPaulo/357389770-IAL/2023	Instituto Adolfo Lutz	Centers for Disease Control and Prevention
A/Fiji/295/2024	National Centre for Scientific Services for Virology  and Vector Borne Diseases	WHO Collaborating Centre for Reference and Research on Influenza
A/Lisbon/175/2024	Instituto Nacional de Saude (INSA)	Crick Worldwide Influenza Centre
A/Ecuador/6629/2024	INSPI	Centers for Disease Control and Prevention
A/Ecuador/6687/2025	INSPI	Centers for Disease Control and Prevention
A/Peru/2104/2025	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud	Centers for Disease Control and Prevention
A/Victoria/436/2025	Royal Melbourne Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/3620/2024	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Uruguay/1156/2024	Departamento de Laboratorio de Salud Pública (DLSP)	Centers for Disease Control and Prevention
A/Yokohama/40/2025	Yokohama City Institute of Public Health.	Japan Institute for Health Security (JIHS)
A/Yakutia/198-11V/2025	Center of Hygiene and Epidemiology in Republic of Sakha (Yakutia)	State Research Center of Virology and Biotechnology (VECTOR)
A/Ohio/253/2024	Ohio Department of Health Laboratories	Centers for Disease Control and Prevention
A/Reunion/CHU724122775301/2024	CHU de la Réunion - Site Felix Guyon	Hospital Center Félix-Guyon
A/Suriname/207/2025	Central Laboratory, Bureau of Public Health	Centers for Disease Control and Prevention
A/ValencianCommunity/989/2025	Servicio de Microbiología Hospital General Universitario de Elche	Instituto de Salud Carlos III
A/Finland/626/2024	Helsingin-Uusimaa Labotariokeskus	Finnish Institute for Health and Welfare, THL
A/Netherlands/999/2025	Erasmus Medical Center	Erasmus Medical Center
A/Finland/673/2025	Fimlab Laboratories	Finnish Institute for Health and Welfare, THL
A/Sachsen/2/2025	Robert Koch-Institute Nationales Referenzzentrum für Influenza	Robert Koch Institute Nationales Referenzzentrum für Influenza
A/Valencia/VAHNSI_09_1379/2025	Consorcio Hospital General Unversitario de Valencia	Virology Laboratory & Vaccine Research Area, FISABIO - Public Health, Center of Public Health Research (CSISP), Gen. Valenciana
A/Mold/3754/2025	Public Health Wales Microbiology Cardiff	Public Health Wales Microbiology Cardiff
A/Tasmania/557/2025	Hobart Pathology	WHO Collaborating Centre for Reference and Research on Influenza
A/Ireland/39774/2025	UCD National Virus Reference Laboratory	UCD National Virus Reference Laboratory
A/Bulgaria/2825/2025	National Influenza Laboratory, Natl. Center of Inf. & Parasitic Dis	National Centre of Infectious and Parasitic Diseases
A/Moldova/2040420/2025	National Agency for Public Health	National Agency for Public Health, Moldova
A/Fujian-Pinghe/31/2025	WHO Chinese National Influenza Center	Centers for Disease Control and Prevention
A/Canberra/382/2023	Canberra Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/BanskaBystrica/83/2024	National Public Health Institute of Slovakia	Crick Worldwide Influenza Centre
A/Yokosuka/2/2024	Yokosuka Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Maldives/Male-NIV241365/2023	Indira Gandhi Memorial Hospital	ICMR-National Institute of Virology
A/Maldives/2125/2023	Ministry of Health	Centers for Disease Control and Prevention
A/Victoria/800/2024	WHO Collaborating Centre for Reference and Research on Influenza	Centers for Disease Control and Prevention
A/Lisbon/216/2023	National Institute of Health Dr. Ricardo Jorge, Infectious Diseases Department, National Influenza Reference Laboratory	Instituto Nacional de Saúde Dr. Ricardo Jorge
A/Victoria/99/2024	Royal Melbourne Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Tokyo/EIS10-172/2024	National Institute of Infectious Diseases (NIID)	National Institute of Infectious Diseases (NIID)
A/Perth/836/2024	Pathwest QE II Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/478/2024	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/958/2024	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Stockholm/SE24-53070/2024	Public Health Agency of Sweden	Crick Worldwide Influenza Centre
A/Minnesota/97/2024	Minnesota Department of Health	Centers for Disease Control and Prevention
A/Tokyo/EIS10-591/2024	Japan Institute for Health Security (JIHS)	Japan Institute for Health Security (JIHS)
A/Finland/814/2025	Finnish Institute for Health and Welfare, THL	Finnish Institute for Health and Welfare, THL
A/Sydney/761/2024	WHO Collaborating Centre for Reference and Research on Influenza	Centers for Disease Control and Prevention
A/SaudiArabia/PHL/FS8301/2024	Public Health Authority (PHA)	Public Health Authority
A/Bahrain/8389/2024	Ministry of Health Bahrain	Centers for Disease Control and Prevention
A/Taiwan/C21735/2025	Taiwan Centers for Disease Control	Taiwan Centers for Disease Control
A/Victoria/3627/2024	Royal Melbourne Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Estonia/KL4538/2025	Health Protection Inspectorate	Crick Worldwide Influenza Centre
A/Norway/6650/2025	Norwegian Institute of Public Health	Norwegian Institute of Public Health
A/Yokohama/49/2025	Yokohama City Institute of Public Health.	Japan Institute for Health Security (JIHS)
A/Kanagawa/IC2405/2024	Japan Institute for Health Security (JIHS)	Centers for Disease Control and Prevention
A/Yokosuka/3/2025	Yokosuka Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Yokohama/111/2024	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Yangon/I080/2024	Myat Htut NYUNT	Ministry of Health and Sports, Myanmar
A/Wellington/32/2024	Institute of Environmental Science and Research (ESR)	WHO Collaborating Centre for Reference and Research on Influenza
A/Wellington/85/2024	Institute of Environmental Science & Research	Centers for Disease Control and Prevention
A/Tokyo/EIS13-360/2025	Japan Institute for Health Security (JIHS)	Japan Institute for Health Security (JIHS)
A/Samoa/34/2024	Tupua Tamases Meaole Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Pennsylvania/234/2024	Centers for Disease Control and Prevention	Crick Worldwide Influenza Centre
A/Victoria/3568/2024	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Wellington/86/2024	Institute of Environmental Science & Research	Centers for Disease Control and Prevention
A/Romania/583657/2024	Cantacuzino National Military Medical Institute for Research and Development	Cantacuzino Institute
A/SriLanka/36/2025	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/Tasmania/627/2025	Hobart Pathology	WHO Collaborating Centre for Reference and Research on Influenza
A/Beijing-Chaoyang/11253/2024	WHO Chinese National Influenza Center	Centers for Disease Control and Prevention
A/Victoria/3507/2024	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Valdivia/13322/2025	Instituto de Salud Publica de Chile	Crick Worldwide Influenza Centre
A/SouthAfrica/5736/2025	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/SouthAfrica/8320/2025	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/SouthAfrica/R05190/2025	National Institute for Communicable Disease	WHO Collaborating Centre for Reference and Research on Influenza
A/SouthAfrica/4820/2025	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/SouthAfrica/3360/2025	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/SriLanka/100/2024	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/SriLanka/BC60March2026	Insitute of Allergology and Immunology	University of Sri Jayewardenepura
A/SriLanka/4/2025	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/Oman/CPHL_7255092/2025	Central Public Health Laboratories Oman	Central Public Health Laboratories Oman
A/Xinjiang-Changji/1952/2025	WHO Chinese National Influenza Center	Centers for Disease Control and Prevention
A/Zhejiang-Shangcheng/12399/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-Shangcheng/12993/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-Shangcheng/11853/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Estonia/Inf576/2025	Health Board Laboratory of Communicable Diseases	Health Board, Republic of Estonia
A/Macedonia/386/2025	Institute of Public Health (Macedonia)	Crick Worldwide Influenza Centre
A/Vladivostok/4/2025	NRCEM Gamaleya	WHO National Influenza Centre Russian Federation
A/Romania/690/2025	National Institute of Infectious Diseases-Prof. Dr. Matei Bals	National Institute of Infectious Diseases-Prof. Dr. Matei Bals
A/Romania/725/2025	National Institute of Infectious Diseases-Prof. Dr. Matei Bals	National Institute of Infectious Diseases-Prof. Dr. Matei Bals
A/Austria/1818952/2025	Department of Virology, Medical University Vienna	Medical University Vienna
A/Wisconsin/100/2025	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/Qinghai-Tongren/1347/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/SouthAfrica/4119/2025	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/Switzerland/UN-SNRCI-HUG-47661090/2025	Swiss National Reference Centre for Influenza	University of Geneva
A/France/PAC-RELAB-HCL025112169501/2025	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires, France SUD
A/Yasothon/B259/2025	Thai National Influenza Center	Thai National Influenza Center
